ID	TOT_POP	CTYNAME
1001	3875	Autauga County
1003	12335	Baldwin County
1005	1406	Barbour County
1007	1349	Bibb County
1009	3686	Blount County
1011	577	Bullock County
1013	1321	Butler County
1015	7710	Calhoun County
1017	2012	Chambers County
1019	1514	Cherokee County
1021	2719	Chilton County
1023	810	Choctaw County
1025	1688	Clarke County
1027	889	Clay County
1029	949	Cleburne County
1031	3408	Coffee County
1033	3368	Colbert County
1035	778	Conecuh County
1037	575	Coosa County
1039	2267	Covington County
1041	839	Crenshaw County
1043	5001	Cullman County
1045	3036	Dale County
1047	2842	Dallas County
1049	4673	DeKalb County
1051	5103	Elmore County
1053	2163	Escambia County
1055	6495	Etowah County
1057	1046	Fayette County
1059	2055	Franklin County
1061	1597	Geneva County
1063	517	Greene County
1065	1051	Hale County
1067	1022	Henry County
1069	6462	Houston County
1071	3206	Jackson County
1073	41136	Jefferson County
1075	841	Lamar County
1077	6182	Lauderdale County
1079	1927	Lawrence County
1081	13410	Lee County
1083	5798	Limestone County
1085	597	Lowndes County
1087	1816	Macon County
1089	23833	Madison County
1091	1266	Marengo County
1093	1830	Marion County
1095	5971	Marshall County
1097	27410	Mobile County
1099	1578	Monroe County
1101	15131	Montgomery County
1103	7443	Morgan County
1105	947	Perry County
1107	1285	Pickens County
1109	2844	Pike County
1111	1556	Randolph County
1113	3666	Russell County
1115	5089	St. Clair County
1117	14196	Shelby County
1119	1113	Sumter County
1121	5022	Talladega County
1123	2401	Tallapoosa County
1125	17398	Tuscaloosa County
1127	4056	Walker County
1129	1167	Washington County
1131	882	Wilcox County
1133	1426	Winston County
2013	118	Aleutians East Borough
2016	188	Aleutians West Census Area
2020	19142	Anchorage Municipality
2050	1545	Bethel Census Area
2060	52	Bristol Bay Borough
2068	93	Denali Borough
2070	392	Dillingham Census Area
2090	6141	Fairbanks North Star Borough
2100	143	Haines Borough
2105	120	Hoonah-Angoon Census Area
2110	2067	Juneau City and Borough
2122	3621	Kenai Peninsula Borough
2130	868	Ketchikan Gateway Borough
2150	930	Kodiak Island Borough
2158	789	Kusilvak Census Area
2164	107	Lake and Peninsula Borough
2170	7184	Matanuska-Susitna Borough
2180	788	Nome Census Area
2185	540	North Slope Borough
2188	624	Northwest Arctic Borough
2195	202	Petersburg Borough
2198	406	Prince of Wales-Hyder Census Area
2220	526	Sitka City and Borough
2230	26	Skagway Municipality
2240	397	Southeast Fairbanks Census Area
2261	599	Valdez-Cordova Census Area
2275	146	Wrangell City and Borough
2282	32	Yakutat City and Borough
2290	422	Yukon-Koyukuk Census Area
4001	5597	Apache County
4003	7753	Cochise County
4005	13301	Coconino County
4007	2770	Gila County
4009	2944	Graham County
4011	773	Greenlee County
4012	907	La Paz County
4013	284736	Maricopa County
4015	10738	Mohave County
4017	7962	Navajo County
4019	68291	Pima County
4021	25171	Pinal County
4023	3744	Santa Cruz County
4025	11636	Yavapai County
4027	14659	Yuma County
5001	1104	Arkansas County
5003	1303	Ashley County
5005	1971	Baxter County
5007	16636	Benton County
5009	2188	Boone County
5011	597	Bradley County
5013	294	Calhoun County
5015	1729	Carroll County
5017	625	Chicot County
5019	2352	Clark County
5021	924	Clay County
5023	1409	Cleburne County
5025	527	Cleveland County
5027	2338	Columbia County
5029	1278	Conway County
5031	7646	Craighead County
5033	4297	Crawford County
5035	3451	Crittenden County
5037	1085	Cross County
5039	467	Dallas County
5041	786	Desha County
5043	1573	Drew County
5045	8941	Faulkner County
5047	1200	Franklin County
5049	710	Fulton County
5051	5598	Garland County
5053	1165	Grant County
5055	2870	Greene County
5057	1468	Hempstead County
5059	2167	Hot Spring County
5061	886	Howard County
5063	2518	Independence County
5065	732	Izard County
5067	919	Jackson County
5069	4953	Jefferson County
5071	1818	Johnson County
5073	417	Lafayette County
5075	1192	Lawrence County
5077	510	Lee County
5079	774	Lincoln County
5081	814	Little River County
5083	1478	Logan County
5085	5024	Lonoke County
5087	1014	Madison County
5089	772	Marion County
5091	2659	Miller County
5093	3129	Mississippi County
5095	452	Monroe County
5097	550	Montgomery County
5099	478	Nevada County
5101	451	Newton County
5103	1389	Ouachita County
5105	650	Perry County
5107	1389	Phillips County
5109	734	Pike County
5111	1556	Poinsett County
5113	1305	Polk County
5115	5196	Pope County
5117	474	Prairie County
5119	23149	Pulaski County
5121	1068	Randolph County
5123	1655	St. Francis County
5125	7258	Saline County
5127	678	Scott County
5129	458	Searcy County
5131	8355	Sebastian County
5133	1279	Sevier County
5135	952	Sharp County
5137	705	Stone County
5139	2493	Union County
5141	903	Van Buren County
5143	18068	Washington County
5145	6063	White County
5147	412	Woodruff County
5149	1452	Yell County
6001	94345	Alameda County
6003	62	Alpine County
6005	1750	Amador County
6007	15804	Butte County
6009	2565	Calaveras County
6011	1583	Colusa County
6013	72576	Contra Costa County
6015	1563	Del Norte County
6017	11725	El Dorado County
6019	72613	Fresno County
6021	2034	Glenn County
6023	8959	Humboldt County
6025	13544	Imperial County
6027	1042	Inyo County
6029	66133	Kern County
6031	10617	Kings County
6033	3460	Lake County
6035	1756	Lassen County
6037	670074	Los Angeles County
6039	11274	Madera County
6041	14085	Marin County
6043	877	Mariposa County
6045	5042	Mendocino County
6047	23009	Merced County
6049	515	Modoc County
6051	749	Mono County
6053	30043	Monterey County
6055	9111	Napa County
6057	5188	Nevada County
6059	210167	Orange County
6061	24220	Placer County
6063	936	Plumas County
6065	178264	Riverside County
6067	95404	Sacramento County
6069	4438	San Benito County
6071	161235	San Bernardino County
6073	210803	San Diego County
6075	30579	San Francisco County
6077	55162	San Joaquin County
6079	21619	San Luis Obispo County
6081	40602	San Mateo County
6083	36087	Santa Barbara County
6085	113545	Santa Clara County
6087	22301	Santa Cruz County
6089	10740	Shasta County
6091	136	Sierra County
6093	2512	Siskiyou County
6095	27464	Solano County
6097	30428	Sonoma County
6099	39641	Stanislaus County
6101	6717	Sutter County
6103	4014	Tehama County
6105	625	Trinity County
6107	36774	Tulare County
6109	2692	Tuolumne County
