ID	TOT_POP	CTYNAME
1001	3458	Autauga County
1003	12183	Baldwin County
1005	1634	Barbour County
1007	1537	Bibb County
1009	3532	Blount County
1011	677	Bullock County
1013	1226	Butler County
1015	7016	Calhoun County
1017	1896	Chambers County
1019	1350	Cherokee County
1021	2870	Chilton County
1023	706	Choctaw County
1025	1470	Clarke County
1027	752	Clay County
1029	826	Cleburne County
1031	3240	Coffee County
1033	3204	Colbert County
1035	652	Conecuh County
1037	558	Coosa County
1039	2081	Covington County
1041	821	Crenshaw County
1043	4964	Cullman County
1045	2925	Dale County
1047	2246	Dallas County
1049	4531	DeKalb County
1051	5435	Elmore County
1053	2418	Escambia County
1055	6110	Etowah County
1057	931	Fayette County
1059	1985	Franklin County
1061	1560	Geneva County
1063	434	Greene County
1065	816	Hale County
1067	1004	Henry County
1069	6410	Houston County
1071	3094	Jackson County
1073	43058	Jefferson County
1075	745	Lamar County
1077	4837	Lauderdale County
1079	1858	Lawrence County
1081	9561	Lee County
1083	6206	Limestone County
1085	556	Lowndes County
1087	778	Macon County
1089	21408	Madison County
1091	1118	Marengo County
1093	1657	Marion County
1095	5593	Marshall County
1097	25047	Mobile County
1099	1202	Monroe County
1101	14372	Montgomery County
1103	7523	Morgan County
1105	504	Perry County
1107	1243	Pickens County
1109	1642	Pike County
1111	1236	Randolph County
1113	3849	Russell County
1115	5754	St. Clair County
1117	14729	Shelby County
1119	553	Sumter County
1121	4836	Talladega County
1123	2064	Tallapoosa County
1125	12131	Tuscaloosa County
1127	3809	Walker County
1129	931	Washington County
1131	603	Wilcox County
1133	1324	Winston County
2013	303	Aleutians East Borough
2016	500	Aleutians West Census Area
2020	19477	Anchorage Municipality
2050	993	Bethel Census Area
2060	50	Bristol Bay Borough
2068	143	Denali Borough
2070	263	Dillingham Census Area
2090	6356	Fairbanks North Star Borough
2100	129	Haines Borough
2105	109	Hoonah-Angoon Census Area
2110	2142	Juneau City and Borough
2122	3248	Kenai Peninsula Borough
2130	827	Ketchikan Gateway Borough
2150	1014	Kodiak Island Borough
2158	374	Kusilvak Census Area
2164	113	Lake and Peninsula Borough
2170	6549	Matanuska-Susitna Borough
2180	577	Nome Census Area
2185	639	North Slope Borough
2188	398	Northwest Arctic Borough
2195	219	Petersburg Borough
2198	369	Prince of Wales-Hyder Census Area
2220	648	Sitka City and Borough
2230	99	Skagway Municipality
2240	410	Southeast Fairbanks Census Area
2261	541	Valdez-Cordova Census Area
2275	100	Wrangell City and Borough
2282	33	Yakutat City and Borough
2290	313	Yukon-Koyukuk Census Area
4001	3846	Apache County
4003	7026	Cochise County
4005	7734	Coconino County
4007	2202	Gila County
4009	2497	Graham County
4011	628	Greenlee County
4012	820	La Paz County
4013	275001	Maricopa County
4015	9307	Mohave County
4017	5684	Navajo County
4019	57770	Pima County
4021	27447	Pinal County
4023	2388	Santa Cruz County
4025	9648	Yavapai County
4027	11234	Yuma County
5001	1162	Arkansas County
5003	1185	Ashley County
5005	1858	Baxter County
5007	18211	Benton County
5009	2122	Boone County
5011	662	Bradley County
5013	245	Calhoun County
5015	1408	Carroll County
5017	556	Chicot County
5019	1074	Clark County
5021	894	Clay County
5023	1278	Cleburne County
5025	459	Cleveland County
5027	1176	Columbia County
5029	1151	Conway County
5031	6858	Craighead County
5033	3754	Crawford County
5035	2996	Crittenden County
5037	1009	Cross County
5039	393	Dallas County
5041	690	Desha County
5043	1010	Drew County
5045	7644	Faulkner County
5047	1019	Franklin County
5049	560	Fulton County
5051	5330	Garland County
5053	1107	Grant County
5055	2788	Greene County
5057	1313	Hempstead County
5059	2039	Hot Spring County
5061	735	Howard County
5063	2197	Independence County
5065	732	Izard County
5067	1167	Jackson County
5069	4145	Jefferson County
5071	1528	Johnson County
5073	364	Lafayette County
5075	907	Lawrence County
5077	619	Lee County
5079	1064	Lincoln County
5081	742	Little River County
5083	1164	Logan County
5085	4865	Lonoke County
5087	918	Madison County
5089	666	Marion County
5091	2728	Miller County
5093	2662	Mississippi County
5095	353	Monroe County
5097	400	Montgomery County
5099	435	Nevada County
5101	414	Newton County
5103	1298	Ouachita County
5105	563	Perry County
5107	1041	Phillips County
5109	644	Pike County
5111	1419	Poinsett County
