ID	TOT_POP	CTYNAME
1001	3231	Autauga County
1003	11261	Baldwin County
1005	1475	Barbour County
1007	1212	Bibb County
1009	3391	Blount County
1011	631	Bullock County
1013	1222	Butler County
1015	6682	Calhoun County
1017	2060	Chambers County
1019	1268	Cherokee County
1021	2810	Chilton County
1023	653	Choctaw County
1025	1310	Clarke County
1027	723	Clay County
1029	862	Cleburne County
1031	3083	Coffee County
1033	3015	Colbert County
1035	702	Conecuh County
1037	513	Coosa County
1039	2260	Covington County
1041	836	Crenshaw County
1043	4845	Cullman County
1045	3149	Dale County
1047	2768	Dallas County
1049	4322	DeKalb County
1051	4761	Elmore County
1053	2275	Escambia County
1055	5877	Etowah County
1057	889	Fayette County
1059	2053	Franklin County
1061	1549	Geneva County
1063	501	Greene County
1065	932	Hale County
1067	939	Henry County
1069	6391	Houston County
1071	2814	Jackson County
1073	42880	Jefferson County
1075	676	Lamar County
1077	4786	Lauderdale County
1079	1724	Lawrence County
1081	9127	Lee County
1083	5284	Limestone County
1085	674	Lowndes County
1087	920	Macon County
1089	20498	Madison County
1091	1249	Marengo County
1093	1600	Marion County
1095	6175	Marshall County
1097	27589	Mobile County
1099	1100	Monroe County
1101	15409	Montgomery County
1103	7250	Morgan County
1105	488	Perry County
1107	1042	Pickens County
1109	1886	Pike County
1111	1261	Randolph County
1113	4655	Russell County
1115	5195	St. Clair County
1117	12221	Shelby County
1119	626	Sumter County
1121	4404	Talladega County
1123	2399	Tallapoosa County
1125	12111	Tuscaloosa County
1127	3817	Walker County
1129	801	Washington County
1131	632	Wilcox County
1133	1229	Winston County
2013	74	Aleutians East Borough
2016	189	Aleutians West Census Area
2020	22360	Anchorage Municipality
2050	2039	Bethel Census Area
2060	44	Bristol Bay Borough
2068	99	Denali Borough
2070	541	Dillingham Census Area
2090	7907	Fairbanks North Star Borough
2100	87	Haines Borough
2105	106	Hoonah-Angoon Census Area
2110	1982	Juneau City and Borough
2122	3717	Kenai Peninsula Borough
2130	875	Ketchikan Gateway Borough
2150	1151	Kodiak Island Borough
2158	1099	Kusilvak Census Area
2164	143	Lake and Peninsula Borough
2170	7180	Matanuska-Susitna Borough
2180	1093	Nome Census Area
2185	829	North Slope Borough
2188	872	Northwest Arctic Borough
2195	218	Petersburg Borough
2198	416	Prince of Wales-Hyder Census Area
2220	529	Sitka City and Borough
2230	55	Skagway Municipality
2240	553	Southeast Fairbanks Census Area
2261	676	Valdez-Cordova Census Area
2275	118	Wrangell City and Borough
2282	39	Yakutat City and Borough
2290	458	Yukon-Koyukuk Census Area
4001	5397	Apache County
4003	8118	Cochise County
4005	8235	Coconino County
4007	3008	Gila County
4009	2918	Graham County
4011	665	Greenlee County
4012	927	La Paz County
4013	272591	Maricopa County
