ID	TOT_POP	CTYNAME
1001	2934	Autauga County
1003	13846	Baldwin County
1005	1659	Barbour County
1007	1301	Bibb County
1009	3634	Blount County
1011	681	Bullock County
1013	1446	Butler County
1015	7611	Calhoun County
1017	2369	Chambers County
1019	1900	Cherokee County
1021	2740	Chilton County
1023	938	Choctaw County
1025	1565	Clarke County
1027	886	Clay County
1029	980	Cleburne County
1031	3024	Coffee County
1033	3590	Colbert County
1035	897	Conecuh County
1037	906	Coosa County
1039	2534	Covington County
1041	919	Crenshaw County
1043	5178	Cullman County
1045	2908	Dale County
1047	2683	Dallas County
1049	4320	DeKalb County
1051	4670	Elmore County
1053	2262	Escambia County
1055	6929	Etowah County
1057	1183	Fayette County
1059	1881	Franklin County
1061	1811	Geneva County
1063	715	Greene County
1065	1049	Hale County
1067	1271	Henry County
1069	6425	Houston County
1071	3670	Jackson County
1073	41606	Jefferson County
1075	971	Lamar County
1077	6193	Lauderdale County
1079	2127	Lawrence County
1081	7341	Lee County
1083	5177	Limestone County
1085	693	Lowndes County
1087	1341	Macon County
1089	20115	Madison County
1091	1301	Marengo County
1093	1964	Marion County
1095	5653	Marshall County
1097	25419	Mobile County
1099	1565	Monroe County
1101	13321	Montgomery County
1103	7464	Morgan County
1105	596	Perry County
1107	1321	Pickens County
1109	1692	Pike County
1111	1549	Randolph County
1113	3305	Russell County
1115	5279	St. Clair County
1117	12439	Shelby County
1119	905	Sumter County
1121	5427	Talladega County
1123	2993	Tallapoosa County
1125	11348	Tuscaloosa County
1127	4511	Walker County
1129	1124	Washington County
1131	800	Wilcox County
1133	1636	Winston County
2013	190	Aleutians East Borough
2016	384	Aleutians West Census Area
2020	15889	Anchorage Municipality
2050	766	Bethel Census Area
2060	71	Bristol Bay Borough
2068	171	Denali Borough
2070	297	Dillingham Census Area
2090	5208	Fairbanks North Star Borough
2100	257	Haines Borough
2105	217	Hoonah-Angoon Census Area
2110	2182	Juneau City and Borough
2122	4585	Kenai Peninsula Borough
2130	1034	Ketchikan Gateway Borough
2150	743	Kodiak Island Borough
2158	254	Kusilvak Census Area
2164	78	Lake and Peninsula Borough
2170	6152	Matanuska-Susitna Borough
2180	434	Nome Census Area
2185	542	North Slope Borough
2188	270	Northwest Arctic Borough
2195	257	Petersburg Borough
2198	533	Prince of Wales-Hyder Census Area
2220	606	Sitka City and Borough
2230	92	Skagway Municipality
2240	495	Southeast Fairbanks Census Area
2261	715	Valdez-Cordova Census Area
2275	240	Wrangell City and Borough
2282	53	Yakutat City and Borough
2290	379	Yukon-Koyukuk Census Area
4001	3983	Apache County
4003	8406	Cochise County
4005	7898	Coconino County
4007	4290	Gila County
4009	1813	Graham County
4011	504	Greenlee County
4012	1358	La Paz County
4013	217802	Maricopa County
4015	16789	Mohave County
4017	6755	Navajo County
4019	62610	Pima County
4021	23968	Pinal County
4023	2799	Santa Cruz County
4025	20824	Yavapai County
4027	9366	Yuma County
5001	1321	Arkansas County
5003	1329	Ashley County
5005	3224	Baxter County
5007	12035	Benton County
5009	2433	Boone County
5011	742	Bradley County
5013	389	Calhoun County
5015	2228	Carroll County
5017	777	Chicot County
5019	1219	Clark County
5021	970	Clay County
5023	1812	Cleburne County
5025	551	Cleveland County
5027	1440	Columbia County
5029	1378	Conway County
5031	5410	Craighead County
