ID	TOT_POP	CTYNAME
1001	2616	Autauga County
1003	13239	Baldwin County
1005	1604	Barbour County
1007	1181	Bibb County
1009	3455	Blount County
1011	540	Bullock County
1013	1157	Butler County
1015	6522	Calhoun County
1017	2147	Chambers County
1019	2009	Cherokee County
1021	2348	Chilton County
1023	873	Choctaw County
1025	1419	Clarke County
1027	846	Clay County
1029	942	Cleburne County
1031	2812	Coffee County
1033	3304	Colbert County
1035	887	Conecuh County
1037	754	Coosa County
1039	2316	Covington County
1041	900	Crenshaw County
1043	4972	Cullman County
1045	2617	Dale County
1047	2327	Dallas County
1049	4007	DeKalb County
1051	4171	Elmore County
1053	2079	Escambia County
1055	6462	Etowah County
1057	1102	Fayette County
1059	1668	Franklin County
1061	1768	Geneva County
1063	520	Greene County
1065	873	Hale County
1067	1320	Henry County
1069	5727	Houston County
1071	3364	Jackson County
1073	32891	Jefferson County
1075	926	Lamar County
1077	5600	Lauderdale County
1079	2033	Lawrence County
1081	6205	Lee County
1083	4634	Limestone County
1085	607	Lowndes County
1087	1162	Macon County
1089	16506	Madison County
1091	1206	Marengo County
1093	1965	Marion County
1095	5275	Marshall County
1097	21504	Mobile County
1099	1259	Monroe County
1101	10483	Montgomery County
1103	6541	Morgan County
1105	521	Perry County
1107	1181	Pickens County
1109	1675	Pike County
1111	1465	Randolph County
1113	2600	Russell County
1115	4886	St. Clair County
1117	10447	Shelby County
1119	673	Sumter County
1121	4773	Talladega County
1123	2837	Tallapoosa County
1125	8841	Tuscaloosa County
1127	4071	Walker County
1129	1018	Washington County
1131	673	Wilcox County
1133	1654	Winston County
2013	101	Aleutians East Borough
2016	197	Aleutians West Census Area
2020	11514	Anchorage Municipality
2050	482	Bethel Census Area
2060	35	Bristol Bay Borough
2068	82	Denali Borough
2070	143	Dillingham Census Area
2090	3700	Fairbanks North Star Borough
2100	205	Haines Borough
2105	147	Hoonah-Angoon Census Area
2110	1580	Juneau City and Borough
2122	3566	Kenai Peninsula Borough
2130	710	Ketchikan Gateway Borough
2150	538	Kodiak Island Borough
2158	180	Kusilvak Census Area
2164	55	Lake and Peninsula Borough
2170	4249	Matanuska-Susitna Borough
2180	307	Nome Census Area
2185	220	North Slope Borough
2188	201	Northwest Arctic Borough
2195	184	Petersburg Borough
2198	351	Prince of Wales-Hyder Census Area
2220	437	Sitka City and Borough
2230	54	Skagway Municipality
2240	356	Southeast Fairbanks Census Area
2261	449	Valdez-Cordova Census Area
2275	177	Wrangell City and Borough
2282	30	Yakutat City and Borough
2290	286	Yukon-Koyukuk Census Area
4001	3344	Apache County
4003	8267	Cochise County
4005	6146	Coconino County
4007	4736	Gila County
4009	1607	Graham County
4011	369	Greenlee County
4012	1885	La Paz County
4013	197840	Maricopa County
