ID	TOT_POP	CTYNAME
1001	3733	Autauga County
1003	12444	Baldwin County
1005	1641	Barbour County
1007	1276	Bibb County
1009	3685	Blount County
1011	692	Bullock County
1013	1335	Butler County
1015	7025	Calhoun County
1017	1983	Chambers County
1019	1412	Cherokee County
1021	2988	Chilton County
1023	711	Choctaw County
1025	1401	Clarke County
1027	791	Clay County
1029	947	Cleburne County
1031	3365	Coffee County
1033	3304	Colbert County
1035	757	Conecuh County
1037	520	Coosa County
1039	2275	Covington County
1041	895	Crenshaw County
1043	5041	Cullman County
1045	3272	Dale County
1047	2906	Dallas County
1049	5000	DeKalb County
1051	5063	Elmore County
1053	2375	Escambia County
1055	6065	Etowah County
1057	1025	Fayette County
1059	2214	Franklin County
1061	1608	Geneva County
1063	562	Greene County
1065	937	Hale County
1067	955	Henry County
1069	6755	Houston County
1071	2980	Jackson County
1073	43062	Jefferson County
1075	849	Lamar County
1077	5158	Lauderdale County
1079	2060	Lawrence County
1081	9343	Lee County
1083	5971	Limestone County
1085	678	Lowndes County
1087	954	Macon County
1089	21656	Madison County
1091	1298	Marengo County
1093	1682	Marion County
1095	6583	Marshall County
1097	27442	Mobile County
1099	1327	Monroe County
1101	15254	Montgomery County
1103	7569	Morgan County
1105	585	Perry County
1107	1086	Pickens County
1109	1742	Pike County
1111	1337	Randolph County
1113	4303	Russell County
1115	5711	St. Clair County
1117	14036	Shelby County
1119	716	Sumter County
1121	4955	Talladega County
1123	2315	Tallapoosa County
1125	11803	Tuscaloosa County
1127	3867	Walker County
1129	1011	Washington County
1131	671	Wilcox County
1133	1326	Winston County
2013	84	Aleutians East Borough
2016	182	Aleutians West Census Area
2020	20426	Anchorage Municipality
2050	1764	Bethel Census Area
2060	38	Bristol Bay Borough
2068	97	Denali Borough
2070	410	Dillingham Census Area
2090	6717	Fairbanks North Star Borough
2100	134	Haines Borough
2105	121	Hoonah-Angoon Census Area
2110	2009	Juneau City and Borough
2122	3760	Kenai Peninsula Borough
2130	790	Ketchikan Gateway Borough
2150	1037	Kodiak Island Borough
2158	920	Kusilvak Census Area
2164	127	Lake and Peninsula Borough
2170	7818	Matanuska-Susitna Borough
2180	983	Nome Census Area
2185	728	North Slope Borough
2188	816	Northwest Arctic Borough
2195	185	Petersburg Borough
2198	448	Prince of Wales-Hyder Census Area
2220	612	Sitka City and Borough
2230	40	Skagway Municipality
2240	457	Southeast Fairbanks Census Area
2261	604	Valdez-Cordova Census Area
2275	137	Wrangell City and Borough
2282	24	Yakutat City and Borough
2290	438	Yukon-Koyukuk Census Area
4001	5856	Apache County
4003	7829	Cochise County
4005	8461	Coconino County
4007	3119	Gila County
4009	3012	Graham County
4011	797	Greenlee County
4012	1008	La Paz County
4013	291952	Maricopa County
4015	10498	Mohave County
4017	8652	Navajo County
4019	61293	Pima County
4021	29014	Pinal County
4023	3588	Santa Cruz County
4025	10825	Yavapai County
4027	14430	Yuma County
5001	1148	Arkansas County
5003	1358	Ashley County
5005	2098	Baxter County
5007	19268	Benton County
5009	2211	Boone County
5011	777	Bradley County
5013	265	Calhoun County
5015	1692	Carroll County
5017	785	Chicot County
5019	1226	Clark County
5021	861	Clay County
5023	1411	Cleburne County
5025	536	Cleveland County
5027	1409	Columbia County
5029	1338	Conway County
5031	7396	Craighead County
5033	4181	Crawford County
5035	3807	Crittenden County
5037	1138	Cross County
5039	463	Dallas County
5041	899	Desha County
5043	1090	Drew County
5045	8049	Faulkner County
5047	1170	Franklin County
5049	661	Fulton County
5051	5566	Garland County
5053	1195	Grant County
5055	3036	Greene County
