ID	TOT_POP	CTYNAME
1001	2082	Autauga County
1003	10366	Baldwin County
1005	1166	Barbour County
1007	843	Bibb County
1009	2648	Blount County
1011	401	Bullock County
1013	829	Butler County
1015	4640	Calhoun County
1017	1599	Chambers County
1019	1509	Cherokee County
1021	1756	Chilton County
1023	755	Choctaw County
1025	1172	Clarke County
1027	679	Clay County
1029	746	Cleburne County
1031	2004	Coffee County
1033	2553	Colbert County
1035	677	Conecuh County
1037	543	Coosa County
1039	1865	Covington County
1041	613	Crenshaw County
1043	3787	Cullman County
1045	1985	Dale County
1047	1665	Dallas County
1049	2923	DeKalb County
1051	3060	Elmore County
1053	1626	Escambia County
1055	4386	Etowah County
1057	863	Fayette County
1059	1280	Franklin County
1061	1306	Geneva County
1063	354	Greene County
1065	659	Hale County
1067	949	Henry County
1069	4234	Houston County
1071	2692	Jackson County
1073	21930	Jefferson County
1075	694	Lamar County
1077	4251	Lauderdale County
1079	1532	Lawrence County
1081	4174	Lee County
1083	3338	Limestone County
1085	499	Lowndes County
1087	824	Macon County
1089	11788	Madison County
1091	902	Marengo County
1093	1562	Marion County
1095	4060	Marshall County
1097	15289	Mobile County
1099	1008	Monroe County
1101	7382	Montgomery County
1103	4977	Morgan County
1105	454	Perry County
1107	927	Pickens County
1109	1218	Pike County
1111	1153	Randolph County
1113	1872	Russell County
1115	3738	St. Clair County
1117	7094	Shelby County
1119	489	Sumter County
1121	3390	Talladega County
1123	2114	Tallapoosa County
1125	5795	Tuscaloosa County
1127	3113	Walker County
1129	740	Washington County
1131	501	Wilcox County
1133	1290	Winston County
2013	58	Aleutians East Borough
2016	73	Aleutians West Census Area
2020	7001	Anchorage Municipality
2050	355	Bethel Census Area
2060	23	Bristol Bay Borough
2068	44	Denali Borough
2070	118	Dillingham Census Area
2090	2107	Fairbanks North Star Borough
2100	106	Haines Borough
2105	90	Hoonah-Angoon Census Area
2110	871	Juneau City and Borough
2122	2303	Kenai Peninsula Borough
2130	486	Ketchikan Gateway Borough
2150	348	Kodiak Island Borough
2158	112	Kusilvak Census Area
2164	36	Lake and Peninsula Borough
2170	2656	Matanuska-Susitna Borough
2180	189	Nome Census Area
2185	107	North Slope Borough
2188	126	Northwest Arctic Borough
2195	125	Petersburg Borough
2198	192	Prince of Wales-Hyder Census Area
2220	273	Sitka City and Borough
2230	25	Skagway Municipality
2240	229	Southeast Fairbanks Census Area
2261	247	Valdez-Cordova Census Area
2275	93	Wrangell City and Borough
2282	17	Yakutat City and Borough
2290	209	Yukon-Koyukuk Census Area
4001	2622	Apache County
4003	6851	Cochise County
4005	4011	Coconino County
4007	3930	Gila County
4009	1138	Graham County
4011	269	Greenlee County
4012	2060	La Paz County
4013	147244	Maricopa County
4015	15198	Mohave County
4017	4727	Navajo County
4019	46006	Pima County
4021	21675	Pinal County
4023	1956	Santa Cruz County
4025	17006	Yavapai County
4027	9568	Yuma County
5001	735	Arkansas County
5003	1068	Ashley County
5005	3262	Baxter County
