ID	TOT_POP	CTYNAME
1001	3541	Autauga County
1003	11174	Baldwin County
1005	1769	Barbour County
1007	1447	Bibb County
1009	3389	Blount County
1011	723	Bullock County
1013	1193	Butler County
1015	7961	Calhoun County
1017	2183	Chambers County
1019	1429	Cherokee County
1021	2679	Chilton County
1023	745	Choctaw County
1025	1607	Clarke County
1027	775	Clay County
1029	863	Cleburne County
1031	3075	Coffee County
1033	3189	Colbert County
1035	770	Conecuh County
1037	586	Coosa County
1039	2158	Covington County
1041	858	Crenshaw County
1043	4863	Cullman County
1045	3408	Dale County
1047	2782	Dallas County
1049	4387	DeKalb County
1051	5699	Elmore County
1053	2417	Escambia County
1055	6417	Etowah County
1057	1026	Fayette County
1059	2063	Franklin County
1061	1456	Geneva County
1063	550	Greene County
1065	1008	Hale County
1067	924	Henry County
1069	6141	Houston County
1071	2982	Jackson County
1073	43352	Jefferson County
1075	684	Lamar County
1077	8013	Lauderdale County
1079	1962	Lawrence County
1081	22634	Lee County
1083	5203	Limestone County
1085	694	Lowndes County
1087	2482	Macon County
1089	24370	Madison County
1091	1296	Marengo County
1093	1666	Marion County
1095	5819	Marshall County
1097	29202	Mobile County
1099	1405	Monroe County
1101	17311	Montgomery County
1103	7161	Morgan County
1105	878	Perry County
1107	1389	Pickens County
1109	5721	Pike County
1111	1299	Randolph County
1113	4071	Russell County
1115	4786	St. Clair County
1117	11867	Shelby County
1119	1910	Sumter County
1121	5164	Talladega County
1123	2422	Tallapoosa County
1125	25742	Tuscaloosa County
1127	3844	Walker County
1129	1098	Washington County
1131	705	Wilcox County
1133	1234	Winston County
2013	322	Aleutians East Borough
2016	419	Aleutians West Census Area
2020	26724	Anchorage Municipality
2050	1388	Bethel Census Area
2060	66	Bristol Bay Borough
2068	108	Denali Borough
2070	402	Dillingham Census Area
2090	12118	Fairbanks North Star Borough
2100	116	Haines Borough
2105	88	Hoonah-Angoon Census Area
2110	2341	Juneau City and Borough
2122	3822	Kenai Peninsula Borough
2130	958	Ketchikan Gateway Borough
2150	1022	Kodiak Island Borough
2158	639	Kusilvak Census Area
2164	121	Lake and Peninsula Borough
2170	7032	Matanuska-Susitna Borough
2180	737	Nome Census Area
2185	619	North Slope Borough
2188	632	Northwest Arctic Borough
2195	203	Petersburg Borough
2198	334	Prince of Wales-Hyder Census Area
2220	545	Sitka City and Borough
2230	56	Skagway Municipality
2240	425	Southeast Fairbanks Census Area
2261	566	Valdez-Cordova Census Area
2275	134	Wrangell City and Borough
2282	48	Yakutat City and Borough
2290	334	Yukon-Koyukuk Census Area
4001	5124	Apache County
4003	7795	Cochise County
4005	19498	Coconino County
4007	2679	Gila County
4009	2838	Graham County
4011	600	Greenlee County
4012	911	La Paz County
4013	285248	Maricopa County
4015	9939	Mohave County
4017	6989	Navajo County
4019	91703	Pima County
4021	22820	Pinal County
4023	3125	Santa Cruz County
4025	10315	Yavapai County
4027	17677	Yuma County
5001	1087	Arkansas County
5003	1221	Ashley County
5005	1753	Baxter County
5007	14354	Benton County
5009	2131	Boone County
5011	648	Bradley County
5013	358	Calhoun County
5015	1371	Carroll County
5017	668	Chicot County
5019	3333	Clark County
5021	865	Clay County
5023	1209	Cleburne County
5025	450	Cleveland County
5027	2686	Columbia County
5029	1232	Conway County
5031	8109	Craighead County
5033	3522	Crawford County
5035	3368	Crittenden County
5037	1061	Cross County
5039	377	Dallas County
5041	693	Desha County
5043	1969	Drew County
5045	14720	Faulkner County
5047	1070	Franklin County
5049	555	Fulton County
5051	5357	Garland County
5053	993	Grant County
5055	2797	Greene County
5057	1237	Hempstead County
5059	2063	Hot Spring County
5061	746	Howard County
